OSIEmp;OSIM;OSIA;OSIEst;OSICant
América Móvil Perú S.A.C.;ene-17;2017;Sustraídos;63.710
América Móvil Perú S.A.C.;ene-17;2017;Recuperados;5.902
América Móvil Perú S.A.C.;ene-17;2017;Perdidos;32.283
Entel Perú S.A.;ene-17;2017;Recuperados;4.452
Entel Perú S.A.;ene-17;2017;Sustraídos;52.146
Flash Servicios Perú S.R.L.;ene-17;2017;Perdidos;12
Flash Servicios Perú S.R.L.;ene-17;2017;Sustraídos;106
Flash Servicios Perú S.R.L.;ene-17;2017;Recuperados;2
Telefónica del Perú S.A.A.;ene-17;2017;Sustraídos;81.018
Telefónica del Perú S.A.A.;ene-17;2017;Perdidos;36.563
Telefónica del Perú S.A.A.;ene-17;2017;Recuperados;5.451
Viettel Perú S.A.C.;ene-17;2017;Perdidos;1.923
Viettel Perú S.A.C.;ene-17;2017;Recuperados;189
Viettel Perú S.A.C.;ene-17;2017;Sustraídos;5.264
América Móvil Perú S.A.C.;feb-17;2017;Recuperados;5.461
América Móvil Perú S.A.C.;feb-17;2017;Sustraídos;61.650
América Móvil Perú S.A.C.;feb-17;2017;Perdidos;29.327
Entel Perú S.A.;feb-17;2017;Recuperados;4.072
Entel Perú S.A.;feb-17;2017;Sustraídos;51.483
Flash Servicios Perú S.R.L.;feb-17;2017;Sustraídos;102
Flash Servicios Perú S.R.L.;feb-17;2017;Recuperados;3
Flash Servicios Perú S.R.L.;feb-17;2017;Perdidos;8
Telefónica del Perú S.A.A.;feb-17;2017;Sustraídos;74.695
Telefónica del Perú S.A.A.;feb-17;2017;Recuperados;4.762
Telefónica del Perú S.A.A.;feb-17;2017;Perdidos;31.353
Viettel Perú S.A.C.;feb-17;2017;Sustraídos;5.422
Viettel Perú S.A.C.;feb-17;2017;Perdidos;1.847
Viettel Perú S.A.C.;feb-17;2017;Recuperados;206
América Móvil Perú S.A.C.;mar-17;2017;Sustraídos;65.506
América Móvil Perú S.A.C.;mar-17;2017;Perdidos;30.347
América Móvil Perú S.A.C.;mar-17;2017;Recuperados;5.655
Entel Perú S.A.;mar-17;2017;Recuperados;3.752
Entel Perú S.A.;mar-17;2017;Perdidos;1
Entel Perú S.A.;mar-17;2017;Sustraídos;50.709
Flash Servicios Perú S.R.L.;mar-17;2017;Recuperados;6
Flash Servicios Perú S.R.L.;mar-17;2017;Sustraídos;101
Flash Servicios Perú S.R.L.;mar-17;2017;Perdidos;7
Telefónica del Perú S.A.A.;mar-17;2017;Recuperados;4.815
Telefónica del Perú S.A.A.;mar-17;2017;Sustraídos;75.495
Telefónica del Perú S.A.A.;mar-17;2017;Perdidos;30.424
Viettel Perú S.A.C.;mar-17;2017;Perdidos;2.160
Viettel Perú S.A.C.;mar-17;2017;Recuperados;164
Viettel Perú S.A.C.;mar-17;2017;Sustraídos;5.678
América Móvil Perú S.A.C.;abr-17;2017;Sustraídos;62.257
América Móvil Perú S.A.C.;abr-17;2017;Recuperados;5.149
América Móvil Perú S.A.C.;abr-17;2017;Perdidos;28.130
Entel Perú S.A.;abr-17;2017;Sustraídos;46.497
Entel Perú S.A.;abr-17;2017;Recuperados;2.816
Flash Servicios Perú S.R.L.;abr-17;2017;Recuperados;3
Flash Servicios Perú S.R.L.;abr-17;2017;Perdidos;9
Flash Servicios Perú S.R.L.;abr-17;2017;Sustraídos;99
Telefónica del Perú S.A.A.;abr-17;2017;Sustraídos;71.707
Telefónica del Perú S.A.A.;abr-17;2017;Recuperados;3.889
Telefónica del Perú S.A.A.;abr-17;2017;Perdidos;27.660
Viettel Perú S.A.C.;abr-17;2017;Sustraídos;13.814
Viettel Perú S.A.C.;abr-17;2017;Perdidos;2.236
Viettel Perú S.A.C.;abr-17;2017;Recuperados;160
América Móvil Perú S.A.C.;may-17;2017;Perdidos;29.626
América Móvil Perú S.A.C.;may-17;2017;Recuperados;5.755
América Móvil Perú S.A.C.;may-17;2017;Sustraídos;66.488
Entel Perú S.A.;may-17;2017;Recuperados;3.288
Entel Perú S.A.;may-17;2017;Sustraídos;49.914
Entel Perú S.A.;may-17;2017;Perdidos;1
Flash Servicios Perú S.R.L.;may-17;2017;Perdidos;5
Flash Servicios Perú S.R.L.;may-17;2017;Sustraídos;74
Telefónica del Perú S.A.A.;may-17;2017;Recuperados;5.558
Telefónica del Perú S.A.A.;may-17;2017;Perdidos;27.624
Telefónica del Perú S.A.A.;may-17;2017;Sustraídos;75.376
Viettel Perú S.A.C.;may-17;2017;Perdidos;2.373
Viettel Perú S.A.C.;may-17;2017;Recuperados;279
Viettel Perú S.A.C.;may-17;2017;Sustraídos;7.188
América Móvil Perú S.A.C.;jun-17;2017;Perdidos;27.756
América Móvil Perú S.A.C.;jun-17;2017;Recuperados;5.719
América Móvil Perú S.A.C.;jun-17;2017;Sustraídos;60.160
Entel Perú S.A.;jun-17;2017;Sustraídos;50.770
Entel Perú S.A.;jun-17;2017;Recuperados;3.333
Flash Servicios Perú S.R.L.;jun-17;2017;Recuperados;3
Flash Servicios Perú S.R.L.;jun-17;2017;Sustraídos;61
Flash Servicios Perú S.R.L.;jun-17;2017;Perdidos;1
Telefónica del Perú S.A.A.;jun-17;2017;Sustraídos;70.447
Telefónica del Perú S.A.A.;jun-17;2017;Recuperados;3.860
Telefónica del Perú S.A.A.;jun-17;2017;Perdidos;22.342
Viettel Perú S.A.C.;jun-17;2017;Sustraídos;7.511
Viettel Perú S.A.C.;jun-17;2017;Perdidos;2.489
Viettel Perú S.A.C.;jun-17;2017;Recuperados;272
América Móvil Perú S.A.C.;jul-17;2017;Sustraídos;64.354
América Móvil Perú S.A.C.;jul-17;2017;Perdidos;29.572
América Móvil Perú S.A.C.;jul-17;2017;Recuperados;4.568
Entel Perú S.A.;jul-17;2017;Perdidos;756
Entel Perú S.A.;jul-17;2017;Recuperados;3.604
Entel Perú S.A.;jul-17;2017;Sustraídos;54.498
Flash Servicios Perú S.R.L.;jul-17;2017;Recuperados;2
Flash Servicios Perú S.R.L.;jul-17;2017;Sustraídos;44
Telefónica del Perú S.A.A.;jul-17;2017;Perdidos;25.735
Telefónica del Perú S.A.A.;jul-17;2017;Sustraídos;70.616
Telefónica del Perú S.A.A.;jul-17;2017;Recuperados;3.812
Viettel Perú S.A.C.;jul-17;2017;Perdidos;2.757
Viettel Perú S.A.C.;jul-17;2017;Recuperados;356
Viettel Perú S.A.C.;jul-17;2017;Sustraídos;9.158
América Móvil Perú S.A.C.;ago-17;2017;Perdidos;28.650
América Móvil Perú S.A.C.;ago-17;2017;Sustraídos;62.416
América Móvil Perú S.A.C.;ago-17;2017;Recuperados;4.639
Entel Perú S.A.;ago-17;2017;Recuperados;3.518
Entel Perú S.A.;ago-17;2017;Sustraídos;54.801
Entel Perú S.A.;ago-17;2017;Perdidos;684
Flash Servicios Perú S.R.L.;ago-17;2017;Sustraídos;28
Flash Servicios Perú S.R.L.;ago-17;2017;Perdidos;1
Telefónica del Perú S.A.A.;ago-17;2017;Perdidos;24.843
Telefónica del Perú S.A.A.;ago-17;2017;Recuperados;3.868
Telefónica del Perú S.A.A.;ago-17;2017;Sustraídos;64.511
Viettel Perú S.A.C.;ago-17;2017;Sustraídos;38.835
Viettel Perú S.A.C.;ago-17;2017;Recuperados;401
Viettel Perú S.A.C.;ago-17;2017;Perdidos;3.026
América Móvil Perú S.A.C.;sep-17;2017;Recuperados;4.975
América Móvil Perú S.A.C.;sep-17;2017;Sustraídos;61.712
América Móvil Perú S.A.C.;sep-17;2017;Perdidos;27.377
Entel Perú S.A.;sep-17;2017;Perdidos;589
Entel Perú S.A.;sep-17;2017;Recuperados;3.806
Entel Perú S.A.;sep-17;2017;Sustraídos;55.192
Flash Servicios Perú S.R.L.;sep-17;2017;Recuperados;2
Flash Servicios Perú S.R.L.;sep-17;2017;Sustraídos;16
Flash Servicios Perú S.R.L.;sep-17;2017;Perdidos;1
Telefónica del Perú S.A.A.;sep-17;2017;Recuperados;3.983
Telefónica del Perú S.A.A.;sep-17;2017;Perdidos;23.813
Telefónica del Perú S.A.A.;sep-17;2017;Sustraídos;58.165
Viettel Perú S.A.C.;sep-17;2017;Perdidos;2.591
Viettel Perú S.A.C.;sep-17;2017;Sustraídos;8.704
Viettel Perú S.A.C.;sep-17;2017;Recuperados;449
América Móvil Perú S.A.C.;oct-17;2017;Sustraídos;63.471
América Móvil Perú S.A.C.;oct-17;2017;Perdidos;28.745
América Móvil Perú S.A.C.;oct-17;2017;Recuperados;5.129
Entel Perú S.A.;oct-17;2017;Perdidos;323
Entel Perú S.A.;oct-17;2017;Sustraídos;56.550
Entel Perú S.A.;oct-17;2017;Recuperados;3.596
Flash Servicios Perú S.R.L.;oct-17;2017;Sustraídos;15
Flash Servicios Perú S.R.L.;oct-17;2017;Perdidos;2
Telefónica del Perú S.A.A.;oct-17;2017;Recuperados;7.068
Telefónica del Perú S.A.A.;oct-17;2017;Perdidos;29.279
Telefónica del Perú S.A.A.;oct-17;2017;Sustraídos;60.998
Viettel Perú S.A.C.;oct-17;2017;Perdidos;2.617
Viettel Perú S.A.C.;oct-17;2017;Recuperados;661
Viettel Perú S.A.C.;oct-17;2017;Sustraídos;10.550
América Móvil Perú S.A.C.;nov-17;2017;Recuperados;5.049
América Móvil Perú S.A.C.;nov-17;2017;Perdidos;27.287
América Móvil Perú S.A.C.;nov-17;2017;Sustraídos;61.050
Entel Perú S.A.;nov-17;2017;Sustraídos;57.625
Entel Perú S.A.;nov-17;2017;Recuperados;3.516
Entel Perú S.A.;nov-17;2017;Perdidos;240
Flash Servicios Perú S.R.L.;nov-17;2017;Sustraídos;16
Telefónica del Perú S.A.A.;nov-17;2017;Sustraídos;57.995
Telefónica del Perú S.A.A.;nov-17;2017;Perdidos;18.734
Telefónica del Perú S.A.A.;nov-17;2017;Recuperados;3.571
Viettel Perú S.A.C.;nov-17;2017;Perdidos;2.651
Viettel Perú S.A.C.;nov-17;2017;Sustraídos;8.796
Viettel Perú S.A.C.;nov-17;2017;Recuperados;481
América Móvil Perú S.A.C.;dic-17;2017;Perdidos;27.646
América Móvil Perú S.A.C.;dic-17;2017;Recuperados;5.016
América Móvil Perú S.A.C.;dic-17;2017;Sustraídos;65.621
Entel Perú S.A.;dic-17;2017;Sustraídos;61.376
Entel Perú S.A.;dic-17;2017;Perdidos;680
Entel Perú S.A.;dic-17;2017;Recuperados;5.134
Flash Servicios Perú S.R.L.;dic-17;2017;Sustraídos;13
Flash Servicios Perú S.R.L.;dic-17;2017;Recuperados;1
Telefónica del Perú S.A.A.;dic-17;2017;Sustraídos;65.345
Telefónica del Perú S.A.A.;dic-17;2017;Perdidos;22.892
Telefónica del Perú S.A.A.;dic-17;2017;Recuperados;3.879
Viettel Perú S.A.C.;dic-17;2017;Perdidos;2.322
Viettel Perú S.A.C.;dic-17;2017;Sustraídos;8.343
Viettel Perú S.A.C.;dic-17;2017;Recuperados;455
América Móvil Perú S.A.C.;ene-18;2018;Recuperados;4.992
América Móvil Perú S.A.C.;ene-18;2018;Sustraídos;62.855
América Móvil Perú S.A.C.;ene-18;2018;Perdidos;26.299
Entel Perú S.A.;ene-18;2018;Sustraídos;57.518
Entel Perú S.A.;ene-18;2018;Perdidos;453
Entel Perú S.A.;ene-18;2018;Recuperados;4.396
Flash Servicios Perú S.R.L.;ene-18;2018;Perdidos;2
Flash Servicios Perú S.R.L.;ene-18;2018;Sustraídos;15
Telefónica del Perú S.A.A.;ene-18;2018;Perdidos;23.630
Telefónica del Perú S.A.A.;ene-18;2018;Recuperados;3.847
Telefónica del Perú S.A.A.;ene-18;2018;Sustraídos;59.271
Viettel Perú S.A.C.;ene-18;2018;Recuperados;561
Viettel Perú S.A.C.;ene-18;2018;Perdidos;2.618
Viettel Perú S.A.C.;ene-18;2018;Sustraídos;9.646
América Móvil Perú S.A.C.;feb-18;2018;Recuperados;4.207
América Móvil Perú S.A.C.;feb-18;2018;Perdidos;23.620
América Móvil Perú S.A.C.;feb-18;2018;Sustraídos;59.899
Entel Perú S.A.;feb-18;2018;Sustraídos;52.322
Entel Perú S.A.;feb-18;2018;Perdidos;254
Entel Perú S.A.;feb-18;2018;Recuperados;3.660
Flash Servicios Perú S.R.L.;feb-18;2018;Recuperados;1
Flash Servicios Perú S.R.L.;feb-18;2018;Perdidos;1
Flash Servicios Perú S.R.L.;feb-18;2018;Sustraídos;11
Telefónica del Perú S.A.A.;feb-18;2018;Perdidos;19.626
Telefónica del Perú S.A.A.;feb-18;2018;Sustraídos;54.505
Telefónica del Perú S.A.A.;feb-18;2018;Recuperados;3.827
